lag_1,lag_2,lag_4,lag_8,rolling_mean_4,rolling_mean_8,week_number,month,quarter,season,actual_demand,forecast_demand,store_id,sku_id,stock_on_hand,reorder_point,safety_stock,stockout_gap,overstock_gap,stockout_risk,overstock_risk,risk_type,risk_severity,priority,action,unit_price,cost_price,stockout_units_at_risk,overstock_units_at_risk,sales_at_risk_rupees,locked_capital_rupees,rupee_value_at_stake
1.0,1.0,1.0,1.0,1.25,1.25,35,8,3,Summer,5,1.6372182539682538,ST04,SKU03604,0.0,0.0,0.0,1.6372182539682538,-1.6372182539682538,True,False,Stockout,1.6372182539682538,Low,Reorder Now,122.62,85.4,1.6372182539682538,0.0,200.7557023015873,0.0,200.7557023015873
5.0,1.0,2.0,1.0,2.25,1.75,38,9,3,Autumn,2,2.52,ST04,SKU04968,0.0,0.0,0.0,2.52,-2.52,True,False,Stockout,2.52,Low,Reorder Now,329.41,237.5,2.52,0.0,830.1132000000001,0.0,830.1132000000001
2.0,5.0,1.0,2.0,2.25,1.875,43,10,4,Autumn,1,2.33,ST16,SKU04646,0.0,0.0,0.0,2.33,-2.33,True,False,Stockout,2.33,Low,Reorder Now,82.38,60.75,2.33,0.0,191.9454,0.0,191.9454
1.0,2.0,1.0,1.0,2.25,1.75,49,12,4,Winter,2,1.77,ST16,SKU04132,0.0,0.0,0.0,1.77,-1.77,True,False,Stockout,1.77,Low,Reorder Now,2255.25,1316.72,1.77,0.0,3991.7925,0.0,3991.7925
4.0,1.0,1.0,1.0,1.75,1.625,16,4,2,Spring,3,1.755,ST30,SKU01362,0.0,0.0,0.0,1.755,-1.755,True,False,Stockout,1.755,Low,Reorder Now,56.5,35.12,1.755,0.0,99.1575,0.0,99.1575
3.0,4.0,1.0,2.0,2.25,1.875,35,8,3,Summer,1,2.76,ST30,SKU00627,0.0,0.0,0.0,2.76,-2.76,True,False,Stockout,2.76,Low,Reorder Now,218.84,150.77,2.76,0.0,603.9984,0.0,603.9984
1.0,4.0,3.0,2.0,2.5,2.0,20,5,2,Spring,1,1.985,ST19,SKU01939,0.0,0.0,0.0,1.985,-1.985,True,False,Stockout,1.985,Low,Reorder Now,297.93,222.4,1.985,0.0,591.3910500000001,0.0,591.3910500000001
1.0,1.0,2.0,1.0,2.0,1.875,34,8,3,Summer,1,2.2533333333333334,ST22,SKU03587,0.0,0.0,0.0,2.2533333333333334,-2.2533333333333334,True,False,Stockout,2.2533333333333334,Low,Reorder Now,252.72,153.79,2.2533333333333334,0.0,569.4624,0.0,569.4624
1.0,1.0,4.0,2.0,1.75,1.875,38,9,3,Autumn,3,2.4233333333333333,ST30,SKU04683,0.0,0.0,0.0,2.4233333333333333,-2.4233333333333333,True,False,Stockout,2.4233333333333333,Low,Reorder Now,481.63,313.99,2.4233333333333333,0.0,1167.1500333333333,0.0,1167.1500333333333
3.0,1.0,1.0,1.0,1.5,2.0,51,12,4,Winter,3,2.4776666666666665,ST30,SKU02826,12.0,72.0,16.0,-25.522333333333336,9.522333333333334,True,False,Stockout,25.522333333333336,Medium,Reorder Now,438.33,282.2,0.0,9.522333333333334,0.0,2687.2024666666666,2687.2024666666666
3.0,1.0,1.0,1.0,1.5,1.75,50,12,4,Winter,2,2.113916666666667,ST09,SKU04321,0.0,0.0,0.0,2.113916666666667,-2.113916666666667,True,False,Stockout,2.113916666666667,Low,Reorder Now,961.3,658.32,2.113916666666667,0.0,2032.1080916666667,0.0,2032.1080916666667
2.0,3.0,1.0,1.0,1.75,1.875,52,12,4,Winter,1,1.883,ST09,SKU03374,0.0,0.0,0.0,1.883,-1.883,True,False,Stockout,1.883,Low,Reorder Now,70.93,48.53,1.883,0.0,133.56119,0.0,133.56119
1.0,2.0,1.0,4.0,1.75,1.875,4,1,1,Winter,1,1.6326666666666665,ST23,SKU00473,73.0,35.0,16.0,-87.36733333333333,71.36733333333333,False,True,Overstock,71.36733333333333,High,Markdown/Clear,111.63,86.19,0.0,71.36733333333333,0.0,6151.15046,6151.15046
1.0,1.0,3.0,2.0,1.75,1.5,24,6,2,Summer,4,3.0383333333333336,ST23,SKU01189,0.0,44.0,21.0,-17.961666666666666,-3.0383333333333336,True,False,Stockout,17.961666666666666,Medium,Reorder Now,2299.8,1412.47,0.0,0.0,0.0,0.0,0.0
4.0,1.0,2.0,1.0,2.0,1.75,33,8,3,Summer,2,1.8,ST29,SKU00319,0.0,0.0,0.0,1.8,-1.8,True,False,Stockout,1.8,Low,Reorder Now,129.05,88.97,1.8,0.0,232.29000000000002,0.0,232.29000000000002
2.0,4.0,1.0,1.0,2.0,1.875,46,11,4,Autumn,1,1.8266666666666669,ST09,SKU04574,0.0,30.0,8.0,-6.173333333333333,-1.8266666666666669,True,False,Stockout,6.173333333333333,Low,Reorder Now,71.96,41.68,0.0,0.0,0.0,0.0,0.0
1.0,2.0,1.0,1.0,2.0,1.875,47,11,4,Autumn,3,1.965,ST04,SKU00272,0.0,0.0,0.0,1.965,-1.965,True,False,Stockout,1.965,Low,Reorder Now,1227.28,905.59,1.965,0.0,2411.6052,0.0,2411.6052
3.0,1.0,4.0,3.0,2.5,2.125,48,11,4,Autumn,1,2.7,ST11,SKU04663,0.0,92.0,32.0,-29.3,-2.7,True,False,Stockout,29.3,Medium,Reorder Now,715.73,556.48,0.0,0.0,0.0,0.0,0.0
1.0,3.0,2.0,2.0,1.75,1.875,1,12,4,Winter,3,2.6833333333333336,ST11,SKU04699,0.0,0.0,0.0,2.6833333333333336,-2.6833333333333336,True,False,Stockout,2.6833333333333336,Low,Reorder Now,143.53,103.16,2.6833333333333336,0.0,385.13883333333337,0.0,385.13883333333337
3.0,1.0,1.0,1.0,2.0,2.0,9,2,1,Winter,2,2.0283333333333333,ST29,SKU03352,0.0,0.0,0.0,2.0283333333333333,-2.0283333333333333,True,False,Stockout,2.0283333333333333,Low,Reorder Now,538.86,386.34,2.0283333333333333,0.0,1092.9877000000001,0.0,1092.9877000000001
2.0,3.0,3.0,1.0,2.25,2.125,16,4,2,Spring,1,1.98,ST29,SKU04197,0.0,0.0,0.0,1.98,-1.98,True,False,Stockout,1.98,Low,Reorder Now,358.95,281.31,1.98,0.0,710.721,0.0,710.721
1.0,2.0,1.0,4.0,1.75,2.125,20,5,2,Spring,1,1.47,ST24,SKU03804,0.0,0.0,0.0,1.47,-1.47,True,False,Stockout,1.47,Low,Reorder Now,257.43,202.91,1.47,0.0,378.4221,0.0,378.4221
1.0,1.0,3.0,2.0,1.75,1.75,40,9,3,Autumn,1,1.975833333333333,ST24,SKU02660,0.0,86.0,32.0,-30.024166666666666,-1.975833333333333,True,False,Stockout,30.024166666666666,Medium,Reorder Now,81.91,53.4,0.0,0.0,0.0,0.0,0.0
1.0,1.0,2.0,1.0,1.25,1.625,45,11,4,Autumn,2,2.1053730158730155,ST24,SKU02410,0.0,0.0,0.0,2.1053730158730155,-2.1053730158730155,True,False,Stockout,2.1053730158730155,Low,Reorder Now,604.52,463.08,2.1053730158730155,0.0,1272.7400955555554,0.0,1272.7400955555554
2.0,1.0,1.0,3.0,1.25,1.75,47,11,4,Autumn,1,2.3186666666666667,ST24,SKU03714,0.0,0.0,0.0,2.3186666666666667,-2.3186666666666667,True,False,Stockout,2.3186666666666667,Low,Reorder Now,1127.31,810.65,2.3186666666666667,0.0,2613.85612,0.0,2613.85612
2.0,1.0,1.0,1.0,1.5,1.375,41,10,4,Autumn,1,2.3689285714285715,ST05,SKU01501,0.0,0.0,0.0,2.3689285714285715,-2.3689285714285715,True,False,Stockout,2.3689285714285715,Low,Reorder Now,99.7,55.18,2.3689285714285715,0.0,236.18217857142858,0.0,236.18217857142858
1.0,2.0,2.0,2.0,1.5,1.375,45,11,4,Autumn,2,1.9034285714285712,ST05,SKU01576,0.0,0.0,0.0,1.9034285714285712,-1.9034285714285712,True,False,Stockout,1.9034285714285712,Low,Reorder Now,709.54,471.58,1.9034285714285712,0.0,1350.5587085714283,0.0,1350.5587085714283
2.0,1.0,1.0,1.0,1.5,1.375,47,11,4,Autumn,2,1.7478333333333336,ST21,SKU04321,0.0,30.0,11.0,-9.252166666666666,-1.7478333333333336,True,False,Stockout,9.252166666666666,Low,Reorder Now,961.3,658.32,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,1.0,1.75,1.5,48,11,4,Autumn,1,2.250333333333333,ST21,SKU01902,0.0,0.0,0.0,2.250333333333333,-2.250333333333333,True,False,Stockout,2.250333333333333,Low,Reorder Now,65.43,44.77,2.250333333333333,0.0,147.23931,0.0,147.23931
1.0,2.0,1.0,1.0,1.5,1.5,1,1,1,Winter,1,2.39,ST22,SKU03648,0.0,0.0,0.0,2.39,-2.39,True,False,Stockout,2.39,Low,Reorder Now,312.11,228.55,2.39,0.0,745.9429000000001,0.0,745.9429000000001
1.0,1.0,2.0,2.0,1.5,1.5,5,1,1,Winter,3,1.86,ST22,SKU02412,0.0,0.0,0.0,1.86,-1.86,True,False,Stockout,1.86,Low,Reorder Now,722.57,411.86,1.86,0.0,1343.9802000000002,0.0,1343.9802000000002
3.0,1.0,2.0,1.0,1.75,1.625,12,3,1,Spring,1,1.9333333333333331,ST22,SKU02802,0.0,0.0,0.0,1.9333333333333331,-1.9333333333333331,True,False,Stockout,1.9333333333333331,Low,Reorder Now,398.56,314.51,1.9333333333333331,0.0,770.5493333333333,0.0,770.5493333333333
1.0,3.0,1.0,2.0,1.5,1.625,16,4,2,Spring,1,4.655,ST22,SKU01045,0.0,89.0,23.0,-18.345,-4.655,True,False,Stockout,18.345,Medium,Reorder Now,451.29,256.12,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.5,1.5,21,5,2,Spring,2,1.5733333333333335,ST24,SKU04104,0.0,0.0,0.0,1.5733333333333335,-1.5733333333333335,True,False,Stockout,1.5733333333333335,Low,Reorder Now,572.29,444.36,1.5733333333333335,0.0,900.4029333333334,0.0,900.4029333333334
2.0,1.0,3.0,2.0,1.75,1.625,30,7,3,Summer,1,2.033333333333333,ST24,SKU04321,0.0,0.0,0.0,2.033333333333333,-2.033333333333333,True,False,Stockout,2.033333333333333,Low,Reorder Now,961.3,658.32,2.033333333333333,0.0,1954.6433333333332,0.0,1954.6433333333332
1.0,2.0,1.0,2.0,1.25,1.5,50,12,4,Winter,3,2.037333333333333,ST22,SKU03907,0.0,0.0,0.0,2.037333333333333,-2.037333333333333,True,False,Stockout,2.037333333333333,Low,Reorder Now,876.73,624.96,2.037333333333333,0.0,1786.1912533333332,0.0,1786.1912533333332
3.0,1.0,1.0,1.0,1.75,1.625,2,1,1,Winter,1,2.644166666666667,ST22,SKU04321,0.0,0.0,0.0,2.644166666666667,-2.644166666666667,True,False,Stockout,2.644166666666667,Low,Reorder Now,961.3,658.32,2.644166666666667,0.0,2541.8374166666667,0.0,2541.8374166666667
1.0,3.0,2.0,1.0,1.75,1.625,14,4,2,Spring,3,2.223357142857143,ST22,SKU02538,0.0,96.0,35.0,-32.77664285714286,-2.223357142857143,True,False,Stockout,32.77664285714286,Medium,Reorder Now,216.58,121.13,0.0,0.0,0.0,0.0,0.0
3.0,1.0,1.0,3.0,2.0,1.875,19,5,2,Spring,3,2.265,ST22,SKU02368,0.0,75.0,34.0,-31.735,-2.265,True,False,Stockout,31.735,Medium,Reorder Now,849.39,651.22,0.0,0.0,0.0,0.0,0.0
3.0,3.0,3.0,1.0,2.5,1.875,24,6,2,Summer,1,2.27,ST02,SKU03027,43.0,66.0,29.0,-69.72999999999999,40.73,False,False,No Risk,0.0,Low,Healthy,724.38,508.08,0.0,40.73,0.0,20694.0984,20694.0984
1.0,3.0,1.0,1.0,2.0,1.875,30,7,3,Summer,1,2.761428571428571,ST30,SKU01596,0.0,0.0,0.0,2.761428571428571,-2.761428571428571,True,False,Stockout,2.761428571428571,Low,Reorder Now,251.23,193.1,2.761428571428571,0.0,693.7536999999999,0.0,693.7536999999999
1.0,1.0,3.0,2.0,2.0,1.875,34,8,3,Summer,3,1.265,ST30,SKU03192,0.0,0.0,0.0,1.265,-1.265,True,False,Stockout,1.265,Low,Reorder Now,285.92,210.45,1.265,0.0,361.6888,0.0,361.6888
3.0,1.0,3.0,1.0,2.0,2.0,39,9,3,Autumn,4,1.825,ST24,SKU01238,0.0,0.0,0.0,1.825,-1.825,True,False,Stockout,1.825,Low,Reorder Now,176.71,113.84,1.825,0.0,322.49575,0.0,322.49575
4.0,3.0,1.0,3.0,2.25,2.375,41,10,4,Autumn,1,2.23,ST24,SKU04321,0.0,0.0,0.0,2.23,-2.23,True,False,Stockout,2.23,Low,Reorder Now,961.3,658.32,2.23,0.0,2143.699,0.0,2143.699
1.0,4.0,1.0,1.0,2.25,2.125,42,10,4,Autumn,2,2.66,ST27,SKU04318,0.0,0.0,0.0,2.66,-2.66,True,False,Stockout,2.66,Low,Reorder Now,205.5,147.89,2.66,0.0,546.63,0.0,546.63
2.0,1.0,3.0,3.0,2.5,2.25,46,11,4,Autumn,1,1.76,ST16,SKU03854,0.0,0.0,0.0,1.76,-1.76,True,False,Stockout,1.76,Low,Reorder Now,482.43,337.85,1.76,0.0,849.0768,0.0,849.0768
1.0,2.0,4.0,3.0,2.0,2.0,49,12,4,Winter,1,2.610333333333333,ST16,SKU02154,0.0,0.0,0.0,2.610333333333333,-2.610333333333333,True,False,Stockout,2.610333333333333,Low,Reorder Now,1876.53,1217.23,2.610333333333333,0.0,4898.36881,0.0,4898.36881
1.0,1.0,1.0,1.0,1.25,1.75,52,12,4,Winter,1,2.79,ST16,SKU04166,0.0,0.0,0.0,2.79,-2.79,True,False,Stockout,2.79,Low,Reorder Now,263.67,154.85,2.79,0.0,735.6393,0.0,735.6393
2.0,1.0,2.0,1.0,2.25,2.125,52,12,4,Winter,2,1.63,ST07,SKU04934,58.0,27.0,12.0,-68.37,56.37,False,True,Overstock,56.37,High,Markdown/Clear,223.16,177.45,0.0,56.37,0.0,10002.856499999998,10002.856499999998
2.0,2.0,4.0,1.0,2.25,2.25,24,6,2,Summer,2,1.8575,ST07,SKU04017,0.0,0.0,0.0,1.8575,-1.8575,True,False,Stockout,1.8575,Low,Reorder Now,119.49,82.09,1.8575,0.0,221.95267499999997,0.0,221.95267499999997
2.0,2.0,1.0,5.0,1.75,2.375,40,9,3,Autumn,2,2.1,ST08,SKU04321,0.0,0.0,0.0,2.1,-2.1,True,False,Stockout,2.1,Low,Reorder Now,961.3,658.32,2.1,0.0,2018.73,0.0,2018.73
3.0,2.0,1.0,2.0,1.75,1.625,45,11,4,Autumn,1,2.0075,ST19,SKU03517,0.0,0.0,0.0,2.0075,-2.0075,True,False,Stockout,2.0075,Low,Reorder Now,986.38,672.8,2.0075,0.0,1980.1578499999998,0.0,1980.1578499999998
1.0,3.0,1.0,1.0,1.75,1.5,48,11,4,Autumn,1,2.208833333333333,ST19,SKU01371,0.0,0.0,0.0,2.208833333333333,-2.208833333333333,True,False,Stockout,2.208833333333333,Low,Reorder Now,1277.61,907.68,2.208833333333333,0.0,2822.0275549999997,0.0,2822.0275549999997
